id,title,avgvote,releaseyear,tagline,budget,revenue,genres
"10135","Road House","7.0","1989","Dalton lives like a loner, fights like a professional. And loves like there's no tomorrow.","15000000","30100000","Action|Thriller"
"4523","Enchanted","6.2","2007","This fairytale princess is about to meet a real Prince Charming","85000000","340487652","Comedy|Family|Fantasy|Musical|Romance"
"10136","The Golden Child","5.9","1986","Eddie Murphy is the chosen one.","25000000","79817939","Action|Adventure|Comedy"
"1578","Raging Bull","7.5","1980",,"18000000","23000000","Drama|Sports Film"
"45243","The Hangover Part II","5.9","2011","The wolfpack is back.","80000000","586764305","Comedy"
"10137","Stuart Little","5.7","1999","The Little Family Just Got Bigger","133000000","300100000","Adventure|Animation|Comedy|Family|Fantasy|Science Fiction"
"1579","Apocalypto","6.9","2006","When the end comes, not everyone is ready to go","40000000","120700000","Action"
"45269","The King's Speech","7.0","2010","Find your voice.","15000000","414211549","Drama|History"
"157","Star Trek III: The Search for Spock","6.4","1984","A dying planet. A fight for life.","18000000","87000000","Action|Adventure|Science Fiction|Thriller"
"45272","Country Strong","5.7","2010","It doesn't matter where you've been as long as you come back strong.","15000000","20601987","Drama|Musical|Romance"
"158011","The Call","6.4","2013","There are 188 million 911 calls a year. This one made it personal.","13000000","68572378","Thriller"
"158015","The Purge","5.6","2013","One night a year, All crime is legal","3000000","89328627","Horror|Science Fiction|Thriller"
"10138","Iron Man 2","6.5","2010","It's not the armor that makes the hero, but the man inside.","200000000","623933331","Action|Adventure|Science Fiction"
"15805","Batman & Mr. Freeze: SubZero","7.2","1998",,,,"Action|Animation|Crime"
"15809","Green Street Hooligans 2","5.0","2009",,"8000000",,"Action|Drama|Thriller"
"45284","Outrage","7.6","2010",,,"8428636","Action|Crime|Drama"
"10139","Milk","6.6","2008","Never Blend In.","20000000","54600000","Drama|History"
"1580","Rope","7.5","1948",,"1500000","2200000","Crime|Drama|Mystery|Suspense|Thriller"
"10140","The Chronicles of Narnia: The Voyage of the Dawn Treader","5.9","2010","Return to magic. Return to hope. Return to Narnia.","155000000","415686217","Fantasy"
"452","The Idiots","7.5","1998",,"2500000","7200","Comedy|Drama"
"10141","Dirty Rotten Scoundrels","7.2","1988","Nice guys finish last. Meet the winners.","6500000","42000000","Comedy|Crime"
"45317","The Fighter","6.7","2010","Every dream deserves a fighting chance.","25000000","93617009","Drama|Sport"
"1581","The Holiday","6.4","2006","It's Christmas Eve and we are going to go celebrate being young and being alive.","85000000","194168700","Comedy|Romance"
"10142","Casualties of War","6.5","1989","Even in war... murder is murder.","22500000","18671317","Drama|History|War"
"10144","The Little Mermaid","6.8","1989","Somewhere under the sea and beyond your imagination is an adventure in fantasy.","40000000","211300000","Animation|Family"
"158445","Miracle in Cell No. 7","7.6","2013",,,"80300000","Comedy|Drama|Foreign"
"45324","Casino Jack","6.3","2010","Honor. Integrity. Principles. Everything is negotiable.","12500000","1083683","Comedy|Crime|Drama"
"10145","The Forgotten","5.1","2004","You'll Never Forget The Ones You Love","42000000","117592831","Crime|Drama|Horror|Mystery|Science Fiction|Thriller"
"1584","School of Rock","6.2","2003","He just landed the gig of his life: 5th grade.","35000000","131100000","Comedy|Music"
"10147","Bad Santa","6.1","2003","He doesn't care if you're naughty or nice.","23000000","76500000","Comedy|Crime|Holiday"
"4538","The Darjeeling Limited","7.1","2007",,"16000000","24377151","Adventure|Comedy|Drama"
"10150","The Last Unicorn","7.4","1982","There's Magic in Believing!",,"6455530","Animation|Family|Fantasy"
"15854","Kung Fu Panda: Secrets of the Furious Five","6.9","2008","The Kung Fu Panda story continues",,,"Animation|Comedy"
"453","A Beautiful Mind","7.0","2001","I need to believe that something extra ordinary is possible....","58000000","316800000","Drama|Romance"
"101519","A Fantastic Fear of Everything","6.2","2012",,,,"Comedy|Thriller"
"4543","The Meaning of Life","6.9","1983","It took God six days to create the earth, and Monty Python just 90 minutes to screw it up.","9000000","15000000","Comedy"
"10152","Dumb and Dumberer: When Harry Met Lloyd","5.5","2003","The evolution of dumb...","19000000","39267515","Comedy"
"15856","House on Haunted Hill","6.6","1959","Consult your doctor! Bring your seat belts!","200000",,"Drama|Horror|Thriller"
"4547","Panic Room","6.3","2002","It was supposed to be the safest room in the house.","48000000","197100000","Crime|Drama|Thriller"
"10153","Sphere","5.8","1998","A thousand feet beneath the sea, the blackest holes are in the mind...","80000000","37020277","Drama|Horror|Mystery|Science Fiction|Thriller"
